"","trial","subject","ttype","run","gallery_left","gallery_right","art_left","art_right","stim_left","stim_right","val_left","val_right","rt","key_press","choice","chosen_val","chosen_gal","chosen_art","chosen_stim","unchosen_val","unchosen_gal","unchosen_art","unchosen_stim","chosen_val_grp","unchosen_val_grp"
"11",11,"29svyahw","learn_value","1","Cordelia","Benedict","Mon","Roh","Monb2n.jpeg","Rohla2.jpeg",80,20,497.964999987744,75,"Right",20,"Benedict","Roh","Rohla2.jpeg",80,"Cordelia","Mon","Monb2n.jpeg","medium","high"
"12",12,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Monb3n.jpeg","Monb2n.jpeg",60,80,465.099999972153,74,"Left",60,"Cordelia","Mon","Monb3n.jpeg",80,"Cordelia","Mon","Monb2n.jpeg","high","high"
"13",13,"29svyahw","learn_value","1","Cordelia","Marina","Mon","Rot","Monb1n.jpeg","Rothb2.jpeg",60,20,2893.28999997815,75,"Right",20,"Marina","Rot","Rothb2.jpeg",60,"Cordelia","Mon","Monb1n.jpeg","low","high"
"14",14,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohb3n.jpeg","Rohla1.jpeg",60,60,1886.1700000125,75,"Right",60,"Benedict","Roh","Rohla1.jpeg",60,"Benedict","Roh","Rohb3n.jpeg","medium","medium"
"15",15,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohb3n.jpeg","Rohla2.jpeg",60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Monb2n.jpeg","Mondb3.jpeg",80,40,268.130000040401,74,"Left",80,"Cordelia","Mon","Monb2n.jpeg",40,"Cordelia","Mon","Mondb3.jpeg","high","high"
"17",17,"29svyahw","learn_value","1","Marina","Cordelia","Rot","Mon","Rota1n.jpeg","Mondb2.jpeg",20,60,300.14000000665,75,"Right",60,"Cordelia","Mon","Mondb2.jpeg",20,"Marina","Rot","Rota1n.jpeg","high","low"
"18",18,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohla2.jpeg","Roha1n.jpeg",20,60,316.029999987222,74,"Left",20,"Benedict","Roh","Rohla2.jpeg",60,"Benedict","Roh","Roha1n.jpeg","medium","medium"
"19",19,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mona1n.jpeg","Monb2n.jpeg",80,80,315.835000015795,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","high","high"
"20",20,"29svyahw","learn_value","1","Marina","Marina","Rot","Rot","Rothb2.jpeg","Rotb2n.jpeg",20,40,176.115000038408,75,"Right",40,"Marina","Rot","Rotb2n.jpeg",20,"Marina","Rot","Rothb2.jpeg","low","low"
"21",21,"29svyahw","learn_value","1","Marina","Cordelia","Rot","Mon","Rotb1n.jpeg","Mona1n.jpeg",40,80,377.389999979641,74,"Left",40,"Marina","Rot","Rotb1n.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","low","high"
"22",22,"29svyahw","learn_value","1","Marina","Marina","Rot","Rot","Rota1n.jpeg","Rotb2n.jpeg",20,40,299.014999996871,75,"Right",40,"Marina","Rot","Rotb2n.jpeg",20,"Marina","Rot","Rota1n.jpeg","low","low"
"23",23,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Roha1n.jpeg","Rohla1.jpeg",60,60,256.385000015143,74,"Left",60,"Benedict","Roh","Roha1n.jpeg",60,"Benedict","Roh","Rohla1.jpeg","medium","medium"
"24",24,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohla1.jpeg","Rohlb2.jpeg",60,20,358.635000011418,74,"Left",60,"Benedict","Roh","Rohla1.jpeg",20,"Benedict","Roh","Rohlb2.jpeg","medium","medium"
"25",25,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Monb3n.jpeg","Mona1n.jpeg",60,80,413.850000011735,74,"Left",60,"Cordelia","Mon","Monb3n.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","high","high"
"26",26,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Roha1n.jpeg","Rohla3.jpeg",60,40,346.149999997579,74,"Left",60,"Benedict","Roh","Roha1n.jpeg",40,"Benedict","Roh","Rohla3.jpeg","medium","medium"
"27",27,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mondb2.jpeg","Monb3n.jpeg",60,60,214.299999992363,74,"Left",60,"Cordelia","Mon","Mondb2.jpeg",60,"Cordelia","Mon","Monb3n.jpeg","high","high"
"28",28,"29svyahw","learn_value","1","Cordelia","Benedict","Mon","Roh","Mondb3.jpeg","Rohla3.jpeg",40,40,324.550000019372,74,"Left",40,"Cordelia","Mon","Mondb3.jpeg",40,"Benedict","Roh","Rohla3.jpeg","high","medium"
"29",29,"29svyahw","learn_value","1","Cordelia","Marina","Mon","Rot","Mondb3.jpeg","Rotb1n.jpeg",40,40,466.019999992568,75,"Right",40,"Marina","Rot","Rotb1n.jpeg",40,"Cordelia","Mon","Mondb3.jpeg","low","high"
"30",30,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mondb3.jpeg","Monb1n.jpeg",40,60,301.020000013523,74,"Left",40,"Cordelia","Mon","Mondb3.jpeg",60,"Cordelia","Mon","Monb1n.jpeg","high","high"
"31",31,"29svyahw","learn_value","1","Marina","Cordelia","Rot","Mon","Rotha3.jpeg","Monb3n.jpeg",0,60,401.01999999024,75,"Right",60,"Cordelia","Mon","Monb3n.jpeg",0,"Marina","Rot","Rotha3.jpeg","high","low"
"32",32,"29svyahw","learn_value","1","Marina","Cordelia","Rot","Mon","Rothb2.jpeg","Mona1n.jpeg",20,80,326.390000001993,75,"Right",80,"Cordelia","Mon","Mona1n.jpeg",20,"Marina","Rot","Rothb2.jpeg","high","low"
"33",33,"29svyahw","learn_value","1","Cordelia","Benedict","Mon","Roh","Monb2n.jpeg","Rohla1.jpeg",80,60,289.430000004359,75,"Right",60,"Benedict","Roh","Rohla1.jpeg",80,"Cordelia","Mon","Monb2n.jpeg","medium","high"
"34",34,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohb3n.jpeg","Roha1n.jpeg",60,60,331.865000014659,74,"Left",60,"Benedict","Roh","Rohb3n.jpeg",60,"Benedict","Roh","Roha1n.jpeg","medium","medium"
"35",35,"29svyahw","learn_value","1","Marina","Benedict","Rot","Roh","Rotha3.jpeg","Roha1n.jpeg",0,60,398.534999985714,74,"Left",0,"Marina","Rot","Rotha3.jpeg",60,"Benedict","Roh","Roha1n.jpeg","low","medium"
"36",36,"29svyahw","learn_value","1","Marina","Benedict","Rot","Roh","Rothb2.jpeg","Rohb3n.jpeg",20,60,268.175000033807,75,"Right",60,"Benedict","Roh","Rohb3n.jpeg",20,"Marina","Rot","Rothb2.jpeg","medium","low"
"37",37,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohla3.jpeg","Rohlb2.jpeg",40,20,674.880000005942,75,"Right",20,"Benedict","Roh","Rohlb2.jpeg",40,"Benedict","Roh","Rohla3.jpeg","medium","medium"
"38",38,"29svyahw","learn_value","1","Marina","Marina","Rot","Rot","Rotha3.jpeg","Rotb2n.jpeg",0,40,475.42999999132,74,"Left",0,"Marina","Rot","Rotha3.jpeg",40,"Marina","Rot","Rotb2n.jpeg","low","low"
"39",39,"29svyahw","learn_value","1","Cordelia","Cordelia","Mon","Mon","Mondb3.jpeg","Monb3n.jpeg",40,60,336.379999993369,75,"Right",60,"Cordelia","Mon","Monb3n.jpeg",40,"Cordelia","Mon","Mondb3.jpeg","high","high"
"40",40,"29svyahw","learn_value","1","Benedict","Benedict","Roh","Roh","Rohla1.jpeg","Rohla2.jpeg",60,20,419.094999961089,75,"Right",20,"Benedict","Roh","Rohla2.jpeg",60,"Benedict","Roh","Rohla1.jpeg","medium","medium"
"41",41,"29svyahw","learn_value","1","Marina","Cordelia","Rot","Mon","Rotha3.jpeg","Monb2n.jpeg",0,80,664.129999990109,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",0,"Marina","Rot","Rotha3.jpeg","high","low"
"42",42,"29svyahw","learn_value","1","Marina","Benedict","Rot","Roh","Rotb2n.jpeg","Rohb3n.jpeg",40,60,550.814999965951,75,"Right",60,"Benedict","Roh","Rohb3n.jpeg",40,"Marina","Rot","Rotb2n.jpeg","medium","low"
"43",43,"29svyahw","learn_value","1","Marina","Marina","Rot","Rot","Rothb2.jpeg","Rotha3.jpeg",20,0,470.435000024736,75,"Right",0,"Marina","Rot","Rotha3.jpeg",20,"Marina","Rot","Rothb2.jpeg","low","low"
"44",44,"29svyahw","learn_value","1","Marina","Benedict","Rot","Roh","Rotha3.jpeg","Rohlb2.jpeg",0,20,325.754999998026,74,"Left",0,"Marina","Rot","Rotha3.jpeg",20,"Benedict","Roh","Rohlb2.jpeg","low","medium"
"45",45,"29svyahw","learn_value","1","Benedict","Cordelia","Roh","Mon","Rohla3.jpeg","Monb2n.jpeg",40,80,227.075000002515,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",40,"Benedict","Roh","Rohla3.jpeg","high","medium"
"46",46,"29svyahw","learn_value","1","Benedict","Cordelia","Roh","Mon","Rohla1.jpeg","Mondb3.jpeg",60,40,495.170000009239,75,"Right",40,"Cordelia","Mon","Mondb3.jpeg",60,"Benedict","Roh","Rohla1.jpeg","high","medium"
"47",47,"29svyahw","learn_value","2","Benedict","Cordelia","Roh","Mon","Rohla3.jpeg","Monb2n.jpeg",40,80,925.325000018347,74,"Left",40,"Benedict","Roh","Rohla3.jpeg",80,"Cordelia","Mon","Monb2n.jpeg","medium","high"
"48",48,"29svyahw","learn_value","2","Cordelia","Marina","Mon","Rot","Monb2n.jpeg","Rotb1n.jpeg",80,40,86.8999999947846,75,"Right",40,"Marina","Rot","Rotb1n.jpeg",80,"Cordelia","Mon","Monb2n.jpeg","low","high"
"49",49,"29svyahw","learn_value","2","Benedict","Benedict","Roh","Roh","Rohlb2.jpeg","Roha1n.jpeg",20,60,340.40000004461,74,"Left",20,"Benedict","Roh","Rohlb2.jpeg",60,"Benedict","Roh","Roha1n.jpeg","medium","medium"
"50",50,"29svyahw","learn_value","2","Cordelia","Benedict","Mon","Roh","Monb2n.jpeg","Rohb3n.jpeg",80,60,679.484999971464,75,"Right",60,"Benedict","Roh","Rohb3n.jpeg",80,"Cordelia","Mon","Monb2n.jpeg","medium","high"
"51",51,"29svyahw","learn_value","2","Marina","Benedict","Rot","Roh","Rotha3.jpeg","Rohla3.jpeg",0,40,70.9050000295974,75,"Right",40,"Benedict","Roh","Rohla3.jpeg",0,"Marina","Rot","Rotha3.jpeg","medium","low"
"52",52,"29svyahw","learn_value","2","Cordelia","Cordelia","Mon","Mon","Mondb2.jpeg","Monb1n.jpeg",60,60,409.805000002962,74,"Left",60,"Cordelia","Mon","Mondb2.jpeg",60,"Cordelia","Mon","Monb1n.jpeg","high","high"
"53",53,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Rohlb2.jpeg","Rotb1n.jpeg",20,40,272.150000033434,75,"Right",40,"Marina","Rot","Rotb1n.jpeg",20,"Benedict","Roh","Rohlb2.jpeg","low","medium"
"54",54,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rota1n.jpeg","Rotha3.jpeg",20,0,434.23499999335,74,"Left",20,"Marina","Rot","Rota1n.jpeg",0,"Marina","Rot","Rotha3.jpeg","low","low"
"55",55,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rota3n.jpeg","Rotb2n.jpeg",0,40,307.504999975208,75,"Right",40,"Marina","Rot","Rotb2n.jpeg",0,"Marina","Rot","Rota3n.jpeg","low","low"
"56",56,"29svyahw","learn_value","2","Benedict","Cordelia","Roh","Mon","Rohla1.jpeg","Mondb2.jpeg",60,60,635.76000003377,74,"Left",60,"Benedict","Roh","Rohla1.jpeg",60,"Cordelia","Mon","Mondb2.jpeg","medium","high"
"57",57,"29svyahw","learn_value","2","Marina","Cordelia","Rot","Mon","Rota1n.jpeg","Monb2n.jpeg",20,80,1001.42000004416,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",20,"Marina","Rot","Rota1n.jpeg","high","low"
"58",58,"29svyahw","learn_value","2","Cordelia","Marina","Mon","Rot","Mondb3.jpeg","Rotha3.jpeg",40,0,462.059999990743,75,"Right",0,"Marina","Rot","Rotha3.jpeg",40,"Cordelia","Mon","Mondb3.jpeg","low","high"
"59",59,"29svyahw","learn_value","2","Marina","Benedict","Rot","Roh","Rothb2.jpeg","Roha1n.jpeg",20,60,672.534999961499,74,"Left",20,"Marina","Rot","Rothb2.jpeg",60,"Benedict","Roh","Roha1n.jpeg","low","medium"
"60",60,"29svyahw","learn_value","2","Cordelia","Benedict","Mon","Roh","Monb1n.jpeg","Rohla2.jpeg",60,20,526.219999999739,74,"Left",60,"Cordelia","Mon","Monb1n.jpeg",20,"Benedict","Roh","Rohla2.jpeg","high","medium"
"61",61,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rothb2.jpeg","Rota3n.jpeg",20,0,536.660000041593,74,"Left",20,"Marina","Rot","Rothb2.jpeg",0,"Marina","Rot","Rota3n.jpeg","low","low"
"62",62,"29svyahw","learn_value","2","Cordelia","Cordelia","Mon","Mon","Mona1n.jpeg","Mondb3.jpeg",80,40,495.189999986906,75,"Right",40,"Cordelia","Mon","Mondb3.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","high","high"
"63",63,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Roha1n.jpeg","Rothb2.jpeg",60,20,414.900000032503,74,"Left",60,"Benedict","Roh","Roha1n.jpeg",20,"Marina","Rot","Rothb2.jpeg","medium","low"
"64",64,"29svyahw","learn_value","2","Marina","Cordelia","Rot","Mon","Rota3n.jpeg","Monb2n.jpeg",0,80,46.6149999992922,75,"Right",80,"Cordelia","Mon","Monb2n.jpeg",0,"Marina","Rot","Rota3n.jpeg","high","low"
"65",65,"29svyahw","learn_value","2","Benedict","Benedict","Roh","Roh","Rohla3.jpeg","Rohb3n.jpeg",40,60,36.1949999933131,75,"Right",60,"Benedict","Roh","Rohb3n.jpeg",40,"Benedict","Roh","Rohla3.jpeg","medium","medium"
"66",66,"29svyahw","learn_value","2","Cordelia","Cordelia","Mon","Mon","Mondb2.jpeg","Mona1n.jpeg",60,80,571.9950000057,74,"Left",60,"Cordelia","Mon","Mondb2.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","high","high"
"67",67,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rota3n.jpeg","Rota1n.jpeg",0,20,274.235000018962,74,"Left",0,"Marina","Rot","Rota3n.jpeg",20,"Marina","Rot","Rota1n.jpeg","low","low"
"68",68,"29svyahw","learn_value","2","Benedict","Cordelia","Roh","Mon","Rohla1.jpeg","Mona1n.jpeg",60,80,285.430000047199,75,"Right",80,"Cordelia","Mon","Mona1n.jpeg",60,"Benedict","Roh","Rohla1.jpeg","high","medium"
"69",69,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rota3n.jpeg","Rotha3.jpeg",0,0,467.110000026878,75,"Right",0,"Marina","Rot","Rotha3.jpeg",0,"Marina","Rot","Rota3n.jpeg","low","low"
"70",70,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rotb1n.jpeg","Rothb2.jpeg",40,20,505.899999989197,74,"Left",40,"Marina","Rot","Rotb1n.jpeg",20,"Marina","Rot","Rothb2.jpeg","low","low"
"71",71,"29svyahw","learn_value","2","Benedict","Benedict","Roh","Roh","Rohlb2.jpeg","Rohla2.jpeg",20,20,298.405000008643,75,"Right",20,"Benedict","Roh","Rohla2.jpeg",20,"Benedict","Roh","Rohlb2.jpeg","medium","medium"
"72",72,"29svyahw","learn_value","2","Marina","Cordelia","Rot","Mon","Rotb2n.jpeg","Monb1n.jpeg",40,60,295.105000026524,74,"Left",40,"Marina","Rot","Rotb2n.jpeg",60,"Cordelia","Mon","Monb1n.jpeg","low","high"
"73",73,"29svyahw","learn_value","2","Benedict","Benedict","Roh","Roh","Rohb3n.jpeg","Rohlb2.jpeg",60,20,365.340000018477,75,"Right",20,"Benedict","Roh","Rohlb2.jpeg",60,"Benedict","Roh","Rohb3n.jpeg","medium","medium"
"74",74,"29svyahw","learn_value","2","Benedict","Benedict","Roh","Roh","Rohla3.jpeg","Rohla1.jpeg",40,60,454.92499996908,74,"Left",40,"Benedict","Roh","Rohla3.jpeg",60,"Benedict","Roh","Rohla1.jpeg","medium","medium"
"75",75,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rotb1n.jpeg","Rotb2n.jpeg",40,40,561.065000016242,74,"Left",40,"Marina","Rot","Rotb1n.jpeg",40,"Marina","Rot","Rotb2n.jpeg","low","low"
"76",76,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Rohb3n.jpeg","Rota1n.jpeg",60,20,495.165000029374,75,"Right",20,"Marina","Rot","Rota1n.jpeg",60,"Benedict","Roh","Rohb3n.jpeg","low","medium"
"77",77,"29svyahw","learn_value","2","Cordelia","Benedict","Mon","Roh","Mondb2.jpeg","Rohlb2.jpeg",60,20,527.240000024904,74,"Left",60,"Cordelia","Mon","Mondb2.jpeg",20,"Benedict","Roh","Rohlb2.jpeg","high","medium"
"78",78,"29svyahw","learn_value","2","Benedict","Cordelia","Roh","Mon","Rohlb2.jpeg","Monb3n.jpeg",20,60,414.464999979828,74,"Left",20,"Benedict","Roh","Rohlb2.jpeg",60,"Cordelia","Mon","Monb3n.jpeg","medium","high"
"79",79,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Rohlb2.jpeg","Rota1n.jpeg",20,20,386.969999992289,75,"Right",20,"Marina","Rot","Rota1n.jpeg",20,"Benedict","Roh","Rohlb2.jpeg","low","medium"
"80",80,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Rohla2.jpeg","Rota3n.jpeg",20,0,399.169999989681,74,"Left",20,"Benedict","Roh","Rohla2.jpeg",0,"Marina","Rot","Rota3n.jpeg","medium","low"
"81",81,"29svyahw","learn_value","2","Benedict","Cordelia","Roh","Mon","Rohla1.jpeg","Monb1n.jpeg",60,60,76.755000045523,74,"Left",60,"Benedict","Roh","Rohla1.jpeg",60,"Cordelia","Mon","Monb1n.jpeg","medium","high"
"82",82,"29svyahw","learn_value","2","Cordelia","Benedict","Mon","Roh","Monb3n.jpeg","Rohb3n.jpeg",60,60,405.104999954347,74,"Left",60,"Cordelia","Mon","Monb3n.jpeg",60,"Benedict","Roh","Rohb3n.jpeg","high","medium"
"83",83,"29svyahw","learn_value","2","Marina","Cordelia","Rot","Mon","Rotb1n.jpeg","Mondb2.jpeg",40,60,715.534999966621,75,"Right",60,"Cordelia","Mon","Mondb2.jpeg",40,"Marina","Rot","Rotb1n.jpeg","high","low"
"84",84,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Rohla2.jpeg","Rotb1n.jpeg",20,40,1180.85499998415,75,"Right",40,"Marina","Rot","Rotb1n.jpeg",20,"Benedict","Roh","Rohla2.jpeg","low","medium"
"85",85,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rota3n.jpeg","Rotb1n.jpeg",0,40,307.864999980666,74,"Left",0,"Marina","Rot","Rota3n.jpeg",40,"Marina","Rot","Rotb1n.jpeg","low","low"
"86",86,"29svyahw","learn_value","2","Benedict","Benedict","Roh","Roh","Rohla3.jpeg","Rohla2.jpeg",40,20,273.095000011381,75,"Right",20,"Benedict","Roh","Rohla2.jpeg",40,"Benedict","Roh","Rohla3.jpeg","medium","medium"
"87",87,"29svyahw","learn_value","2","Marina","Marina","Rot","Rot","Rotb1n.jpeg","Rotha3.jpeg",40,0,312.449999968521,74,"Left",40,"Marina","Rot","Rotb1n.jpeg",0,"Marina","Rot","Rotha3.jpeg","low","low"
"88",88,"29svyahw","learn_value","2","Benedict","Cordelia","Roh","Mon","Roha1n.jpeg","Mona1n.jpeg",60,80,284.295000019483,74,"Left",60,"Benedict","Roh","Roha1n.jpeg",80,"Cordelia","Mon","Mona1n.jpeg","medium","high"
"89",89,"29svyahw","learn_value","2","Marina","Benedict","Rot","Roh","Rotb1n.jpeg","Rohla3.jpeg",40,40,300.430000002962,74,"Left",40,"Marina","Rot","Rotb1n.jpeg",40,"Benedict","Roh","Rohla3.jpeg","low","medium"
"90",90,"29svyahw","learn_value","2","Benedict","Marina","Roh","Rot","Rohla2.jpeg","Rota1n.jpeg",20,20,262.009999947622,74,"Left",20,"Benedict","Roh","Rohla2.jpeg",20,"Marina","Rot","Rota1n.jpeg","medium","low"
"91",1,"ah0hxqyc","learn_value","1","Benedict","Benedict","Cli","Cli","Clia2n.jpeg","Clib1n.jpeg",20,20,1639,75,"Right",20,"Benedict","Cli","Clib1n.jpeg",20,"Benedict","Cli","Clia2n.jpeg","low","low"
"92",2,"ah0hxqyc","learn_value","1","Marina","Marina","Roh","Roh","Rohla2.jpeg","Roha1n.jpeg",40,80,1388,74,"Left",40,"Marina","Roh","Rohla2.jpeg",80,"Marina","Roh","Roha1n.jpeg","high","high"
"93",3,"ah0hxqyc","learn_value","1","Benedict","Marina","Cli","Roh","Clifa1.jpeg","Rohb3n.jpeg",40,80,1479,75,"Right",80,"Marina","Roh","Rohb3n.jpeg",40,"Benedict","Cli","Clifa1.jpeg","high","low"
"94",4,"ah0hxqyc","learn_value","1","Cordelia","Cordelia","Dek","Dek","Deka2n.jpeg","Dekoa1.jpeg",40,60,1589,74,"Left",40,"Cordelia","Dek","Deka2n.jpeg",60,"Cordelia","Dek","Dekoa1.jpeg","medium","medium"
"95",5,"ah0hxqyc","learn_value","1","Cordelia","Cordelia","Dek","Dek","Deka1n.jpeg","Dekob3.jpeg",20,20,1327,75,"Right",20,"Cordelia","Dek","Dekob3.jpeg",20,"Cordelia","Dek","Deka1n.jpeg","medium","medium"
"96",6,"ah0hxqyc","learn_value","1","Benedict","Benedict","Cli","Cli","Clifa2.jpeg","Clia2n.jpeg",0,20,1420,74,"Left",0,"Benedict","Cli","Clifa2.jpeg",20,"Benedict","Cli","Clia2n.jpeg","low","low"
"97",7,"ah0hxqyc","learn_value","1","Cordelia","Marina","Dek","Roh","Dekob3.jpeg","Rohb3n.jpeg",20,80,1824,75,"Right",80,"Marina","Roh","Rohb3n.jpeg",20,"Cordelia","Dek","Dekob3.jpeg","high","medium"
"98",8,"ah0hxqyc","learn_value","1","Benedict","Benedict","Cli","Cli","Clifa1.jpeg","Clifa2.jpeg",40,0,1467,74,"Left",40,"Benedict","Cli","Clifa1.jpeg",0,"Benedict","Cli","Clifa2.jpeg","low","low"
"99",9,"ah0hxqyc","learn_value","1","Marina","Cordelia","Roh","Dek","Rohla3.jpeg","Dekoa1.jpeg",60,60,1800,75,"Right",60,"Cordelia","Dek","Dekoa1.jpeg",60,"Marina","Roh","Rohla3.jpeg","medium","high"
"100",10,"ah0hxqyc","learn_value","1","Benedict","Marina","Cli","Roh","Clia3n.jpeg","Roha1n.jpeg",0,80,1615,75,"Right",80,"Marina","Roh","Roha1n.jpeg",0,"Benedict","Cli","Clia3n.jpeg","high","low"
"101",11,"ah0hxqyc","learn_value","1","Marina","Marina","Roh","Roh","Rohla3.jpeg","Rohla1.jpeg",60,80,1749,75,"Right",80,"Marina","Roh","Rohla1.jpeg",60,"Marina","Roh","Rohla3.jpeg","high","high"
"102",12,"ah0hxqyc","learn_value","1","Benedict","Benedict","Cli","Cli","Clifa1.jpeg","Clia2n.jpeg",40,20,1446,74,"Left",40,"Benedict","Cli","Clifa1.jpeg",20,"Benedict","Cli","Clia2n.jpeg","low","low"
"103",13,"ah0hxqyc","learn_value","1","Cordelia","Benedict","Dek","Cli","Deka2n.jpeg","Clia3n.jpeg",40,0,1723,75,"Right",0,"Benedict","Cli","Clia3n.jpeg",40,"Cordelia","Dek","Deka2n.jpeg","low","medium"
"104",14,"ah0hxqyc","learn_value","1","Marina","Cordelia","Roh","Dek","Rohla3.jpeg","Deka1n.jpeg",60,20,1711,74,"Left",60,"Marina","Roh","Rohla3.jpeg",20,"Cordelia","Dek","Deka1n.jpeg","high","medium"
"105",15,"ah0hxqyc","learn_value","1","Marina","Benedict","Roh","Cli","Rohb3n.jpeg","Clia2n.jpeg",80,20,1392,74,"Left",80,"Marina","Roh","Rohb3n.jpeg",20,"Benedict","Cli","Clia2n.jpeg","high","low"
"106",16,"ah0hxqyc","learn_value","1","Marina","Marina","Roh","Roh","Roha1n.jpeg","Rohb3n.jpeg",80,80,1566,74,"Left",80,"Marina","Roh","Roha1n.jpeg",80,"Marina","Roh","Rohb3n.jpeg","high","high"
"107",17,"ah0hxqyc","learn_value","1","Benedict","Cordelia","Cli","Dek","Clifa2.jpeg","Dekob3.jpeg",0,20,1900,75,"Right",20,"Cordelia","Dek","Dekob3.jpeg",0,"Benedict","Cli","Clifa2.jpeg","medium","low"
